instance family sat vbs lad supplementallad vf2 glasgow1 glasgow2 glasgow3 glasgow4
F.04 1 1 33 387 343 1e8 33 652 2175 57683
C.18 1 1 164 415 261 1e8 164 394 932 2937
A.04 1 1 6 012 008 90 6 14 46 157
C.02 1 1 167 287 279 1e8 167 441 979 3345
E.01 1 0 34 075 119 1e8 34 752 2470 62817
F.20 1 1 132 5423 4028 1e8 132 755 1900 54625
B.20 1 1 60 112 115 1e8 60 136 345 1610
C.08 1 1 165 341 269 1e8 165 348 907 2914
B.11 1 1 59 339 138 1e8 59 128 339 1072
C.10 1 1 167 502 277 1e8 167 387 1027 3426
B.06 1 1 80 106 089 1e8 80 133 350 1047
F.08 1 1 24 2609 1778 1e8 24 425 2060 83356
B.07 1 1 60 114 092 1e8 60 134 357 1151
E.04 1 0 30 032 041 1e8 30 764 2299 61620
C.01 1 1 164 374 269 1e8 164 367 940 2908
B.10 1 1 89 112 111 1e8 89 168 341 1127
A.15 1 1 7 019 010 1356620 7 15 36 111
C.19 1 1 168 308 266 1e8 168 412 1020 2992
B.02 1 1 61 217 090 1e8 61 130 330 1045
E.06 1 0 028 028 042 1e8 50 899 2406 53463
E.18 1 0 17 032 041 1e8 17 349 1328 34712
C.20 1 1 164 458 280 1e8 164 367 950 3041
F.02 1 1 20 295 251 1e8 20 522 1812 73622
F.11 1 1 53 163 160 1e8 53 559 2174 68349
F.12 1 1 46 237 210 1e8 46 625 2240 64314
E.05 1 0 19 104 119 1e8 19 614 1926 59824
B.16 1 1 62 106 088 1e8 62 138 356 1166
A.08 1 1 6 011 009 2115 6 12 31 144
C.14 1 1 170 558 293 1e8 170 380 983 3198
F.16 1 1 25 212 210 1e8 25 300 1790 78751
F.06 1 1 23 1051 396 1e8 23 406 1667 51894
A.03 1 1 5 018 010 20842 5 18 39 130
E.19 1 0 014 014 027 1e8 15 334 1583 45075
C.15 1 1 163 277 284 1e8 163 405 1228 2908
A.16 1 1 5 018 009 585300 5 15 42 123
B.14 1 1 60 189 088 1e8 60 134 340 1096
A.02 1 1 5 012 009 533 5 14 38 110
F.14 1 1 19 180 158 1e8 19 317 1436 49603
F.05 1 1 20 285 282 1e8 20 325 1632 60442
B.09 1 1 60 193 096 1e8 60 135 348 1078
A.01 1 1 5 011 008 1817 5 13 43 119
C.05 1 1 163 292 264 1e8 163 345 913 2800
B.01 1 1 61 104 095 1e8 61 124 336 1019
A.09 1 1 6 011 008 70286 6 12 34 99
A.07 1 1 4 009 010 3240 4 12 32 123
F.03 1 1 19 175 181 1e8 19 314 1541 54508
E.12 1 0 18 128 139 1e8 18 436 1866 62839
C.06 1 1 175 416 308 1e8 175 365 1278 3249
C.09 1 1 163 282 264 1e8 163 342 909 2764
B.17 1 1 62 103 096 1e8 62 132 344 1120
C.07 1 1 173 408 267 1e8 173 372 998 3398
E.09 1 0 17 140 152 1e8 17 460 1773 63130
E.17 1 0 013 013 022 1e8 18 434 1668 44920
C.11 1 1 165 613 317 1e8 165 366 1073 2997
F.10 1 0 005 005 021 152561 32 737 2467 71330
A.17 1 1 5 024 008 15206 5 13 42 146
B.15 1 1 59 107 087 1e8 59 128 335 1120
E.03 1 0 30 042 055 1e8 30 689 2093 41763
F.19 1 1 20 230 200 1e8 20 335 1450 47693
A.12 1 1 6 010 015 1146 6 13 35 104
B.08 1 1 63 108 083 1e8 63 126 320 1041
F.17 1 1 33 514 526 1e8 33 639 2281 58434
C.04 1 1 168 314 329 1e8 168 364 993 3321
B.19 1 1 59 175 084 1e8 59 127 352 1220
C.16 1 1 167 309 266 1e8 167 371 966 3413
C.17 1 1 176 329 270 1e8 176 359 916 2906
E.08 1 0 18 058 071 1e8 18 428 1686 43559
F.13 1 1 25 2018 1424 1e8 25 441 1785 56974
A.20 1 1 6 009 009 199610 6 12 34 99
E.02 1 0 010 010 021 1e8 38 855 2792 48638
E.16 1 0 024 024 036 1e8 33 484 1881 59985
B.12 1 1 60 141 143 1e8 60 133 348 1093
F.09 1 1 22 721 660 1e8 22 394 1781 62201
A.10 1 1 5 014 008 15699 5 15 37 110
F.18 1 1 38 270 263 1e8 38 671 2480 82587
E.10 1 1 19 151 156 1e8 19 296 1538 59085
A.06 1 1 5 028 011 5579 5 14 38 120
E.15 1 0 50 079 090 1e8 50 1121 3093 54606
E.07 1 0 005 005 014 2282 54 1115 2937 46500
E.11 1 0 18 022 037 1e8 18 435 1431 30476
B.03 1 1 62 187 092 1e8 62 138 360 1199
B.18 1 1 62 191 089 1e8 62 132 328 999
C.03 1 1 170 267 268 1e8 170 365 913 2878
A.18 1 1 5 015 010 2635 5 13 39 111
F.15 1 1 30 156 153 1e8 30 554 1923 43472
A.19 1 1 5 018 015 670 5 16 52 118
C.12 1 1 167 275 263 1e8 167 347 901 3052
B.05 1 1 59 244 091 1e8 59 128 327 1016
A.13 1 1 5 010 007 9367 5 15 37 97
A.05 1 1 6 010 009 10962 6 12 35 103
F.01 1 1 30 154 151 1e8 30 540 1823 44081
E.20 1 0 016 016 029 1e8 54 1060 2939 52639
B.13 1 1 62 107 088 1e8 62 131 311 987
A.14 1 1 6 042 015 1e8 6 15 46 136
B.04 1 1 60 098 087 1e8 60 131 338 1061
C.13 1 1 167 682 502 1e8 167 429 1014 3260
F.07 1 1 21 188 166 1e8 21 339 1511 50151
E.13 1 0 015 015 031 1e8 35 792 2671 72435
E.14 1 0 18 122 131 1e8 18 437 1702 43010
A.11 1 1 6 012 008 2104 6 13 35 103
si6_r005_m400.07 7 1 239 110267 7924 1e8 239 833 2090 13559
si6_r005_m400.00 7 1 424 276021 4814 1e8 424 851 2155 13489
si6_r005_m400.01 7 1 194 225684 33870 1e8 194 783 2020 13699
si6_r005_m400.02 7 1 127 15661 4730 1e8 127 820 1938 13434
si6_r005_m400.04 7 1 145 6254 4174 1e8 145 735 1994 13503
si6_r005_m400.05 7 1 101 336063 28479 1e8 101 708 1997 13257
si6_r005_m400.09 7 1 41 7618 4577 1e8 41 691 1871 13540
si6_r005_m400.03 7 1 58 534986 5304 1e8 58 698 1958 13414
si6_r005_m400.06 7 1 53 5716 4233 1e8 53 723 1886 13561
si6_r005_m400.08 7 1 230 115912 9252 1e8 230 840 2105 13685
si6_m4Dr6_m625.04 6 1 10 102 080 10 34 78 211 638
si6_m4Dr6_m625.01 6 1 13 079 076 13 33 170 345 975
si6_m4Dr6_m625.09 6 1 9 090 083 9 42 136 400 1237
si6_m4Dr6_m625.07 6 1 10 079 078 10 73 132 379 1110
si6_m4Dr6_m625.00 6 1 9 085 081 9 33 79 192 580
si6_m4Dr6_m625.08 6 1 9 351 079 9 37 91 223 689
si6_m4Dr6_m625.05 6 1 9 076 075 9 44 76 376 1168
si6_m4Dr6_m625.06 6 1 9 081 077 9 32 110 194 610
si6_m4Dr6_m625.02 6 1 9 083 079 9 34 126 222 850
si6_m4Dr6_m625.03 6 1 11 078 078 11 47 118 311 947
si4_m4Dr2_m625.09 6 1 7 189 107 7 21 84 211 522
si4_m4Dr2_m625.04 6 1 7 395 357 7 49 58 132 480
si4_m4Dr2_m625.02 6 1 7 044 043 7 21 51 177 410
si4_m4Dr2_m625.07 6 1 7 041 041 7 18 67 168 400
si4_m4Dr2_m625.00 6 1 11 098 058 11 18 74 179 430
si4_m4Dr2_m625.08 6 1 8 147 048 8 25 78 202 479
si4_m4Dr2_m625.01 6 1 8 143 144 8 18 77 193 466
si4_m4Dr2_m625.06 6 1 7 052 041 7 26 72 176 434
si4_m4Dr2_m625.03 6 1 7 386 069 7 109 85 220 514
si4_m4Dr2_m625.05 6 1 7 155 186 7 23 91 224 927
si2_r001_m600.00 7 1 51 8812 18970 1e8 1e8 51 1521 2108
si2_r001_m600.06 7 1 224 19380 12059 1e8 1e8 224 537 952
si2_r001_m600.04 7 1 71 3226 22765 1e8 9605 71 189 588
si2_r001_m600.07 7 1 83 115095 22347 1e8 1e8 83 233 570
si2_r001_m600.02 7 1 67 289686 53937 1e8 1e8 67 170 565
si2_r001_m600.08 7 1 159 35043 1e8 1e8 1e8 159 259 639
si2_r001_m600.03 7 1 129 45495389 61233 1e8 1e8 129 220 582
si2_r001_m600.01 7 1 45 36801 50034 1e8 1e8 45 158 542
si2_r001_m600.05 7 1 181 33247 27081 1e8 1e8 181 240 639
si2_r001_m600.09 7 1 67 145968 146103 1e8 1e8 67 187 578
si2_m4Dr2_m256.09 6 1 1 038 054 1 4 5 14 34
si2_m4Dr2_m256.03 6 1 1 042 052 1 12 8 16 34
si2_m4Dr2_m256.04 6 1 1 088 041 1 157 16 27 62
si2_m4Dr2_m256.07 6 1 1 008 010 1 1 4 17 29
si2_m4Dr2_m256.00 6 1 1 036 028 1 25 5 13 30
si2_m4Dr2_m256.06 6 1 1 083 100 1 149 11 15 35
si2_m4Dr2_m256.08 6 1 1 004 007 1 3 8 19 46
si2_m4Dr2_m256.05 6 1 1 009 006 1 1 7 29 69
si2_m4Dr2_m256.01 6 1 1 033 039 1 18 8 13 31
si2_m4Dr2_m256.02 6 1 1 021 005 1 11 6 11 28
si6_r001_m600.09 7 1 42 2027 159 1e8 42 188 983 3353
si6_r001_m600.00 7 1 207 27539 2610 1e8 3766 207 1001 3353
si6_r001_m600.07 7 1 52 10004 3055 1e8 52 195 1015 3234
si6_r001_m600.03 7 1 148 31464 1829 1e8 148 207 1058 3343
si6_r001_m600.01 7 1 194 3029 1551 1e8 643 194 1043 3464
si6_r001_m600.06 7 1 59 2448 2850 1e8 59 216 993 3179
si6_r001_m600.08 7 1 43 6577 4399 1e8 43 194 1072 3385
si6_r001_m600.02 7 1 207 29743 1420 1e8 458 207 1037 3335
si6_r001_m600.04 7 1 206 4259 1671 1e8 1954 206 985 3180
si6_r001_m600.05 7 1 60 2940 1493 1e8 60 200 1041 3371
si2_m4Dr2_m1296.05 6 1 27 570 111 27 39 177 407 970
si2_m4Dr2_m1296.09 6 1 26 744 1011 26 47 106 266 606
si2_m4Dr2_m1296.02 6 1 27 2244 2104 27 5904 356 456 1081
si2_m4Dr2_m1296.07 6 1 26 515 740 26 42 128 413 985
si2_m4Dr2_m1296.00 6 1 27 104 123 27 90 204 550 1280
si2_m4Dr2_m1296.06 6 1 28 2628 3763 28 7486 116 248 672
si2_m4Dr2_m1296.08 6 1 26 1243 1340 26 64 154 343 598
si2_m4Dr2_m1296.01 6 1 27 2315 3099 27 113738 233 543 1239
si2_m4Dr2_m1296.03 6 1 28 1232 1677 28 54 104 228 545
si2_m4Dr2_m1296.04 6 1 27 121 119 27 43 159 355 816
si4_b06m_m800.08 4 1 11 084 075 11 30 144 412 1088
si4_b06m_m800.00 4 1 13 087 070 13 30 148 350 957
si4_b06m_m800.06 4 1 12 084 068 12 29 217 427 983
si4_b06m_m800.05 4 1 11 081 070 11 30 169 511 1384
si4_b06m_m800.04 4 1 11 107 063 11 32 121 255 646
si4_b06m_m800.09 4 1 12 083 071 12 47 63 254 712
si4_b06m_m800.01 4 1 13 092 070 13 49 124 569 1151
si4_b06m_m800.07 4 1 12 087 075 12 30 234 327 874
si4_b06m_m800.03 4 1 20 091 078 20 30 176 468 1480
si4_b06m_m800.02 4 1 12 092 074 12 30 118 278 903
si6_m4Dr2_m625.08 6 1 11 279 105 11 52 100 178 424
si6_m4Dr2_m625.09 6 1 8 269 089 8 36 128 178 512
si6_m4Dr2_m625.05 6 1 8 449 312 8 34 101 179 423
si6_m4Dr2_m625.01 6 1 8 068 061 8 34 130 306 696
si6_m4Dr2_m625.06 6 1 10 068 069 10 32 113 281 709
si6_m4Dr2_m625.00 6 1 8 067 069 8 31 108 242 572
si6_m4Dr2_m625.03 6 1 8 067 069 8 54 112 266 639
si6_m4Dr2_m625.02 6 1 9 464 591 9 38 75 178 423
si6_m4Dr2_m625.07 6 1 9 065 071 9 32 67 279 720
si6_m4Dr2_m625.04 6 1 8 368 453 8 38 146 377 827
si2_m4D_m1296.01 5 1 24 4019 5286 24 40 133 348 746
si2_m4D_m1296.08 5 1 25 660 854 25 74 236 678 1493
si2_m4D_m1296.06 5 1 24 3140 4179 24 1564 722 960 1360
si2_m4D_m1296.05 5 1 26 782 1170 26 97 224 376 1244
si2_m4D_m1296.09 5 1 25 1003 1296 25 68 163 578 801
si2_m4D_m1296.03 5 1 24 2695 3675 24 172 205 403 785
si2_m4D_m1296.07 5 1 26 924 1198 26 64 289 414 797
si2_m4D_m1296.02 5 1 26 1263 1682 26 62 185 860 926
si2_m4D_m1296.04 5 1 25 1087 1439 25 88 517 641 903
si2_m4D_m1296.00 5 1 25 535 681 25 129 205 490 1019
si4_b03_m800.05 3 1 7 1781 2246 7 30 79 135 232
si4_b03_m800.00 3 1 7 1695 2295 7 30 78 134 232
si4_b03_m800.08 3 1 10 1698 2383 10 30 77 135 232
si4_b03_m800.09 3 1 10 1705 2280 10 30 76 137 260
si4_b03_m800.03 3 1 7 1713 2300 7 36 77 135 253
si4_b03_m800.02 3 1 7 1694 2354 7 30 76 145 232
si4_b03_m800.04 3 1 7 1730 2258 7 30 77 134 239
si4_b03_m800.01 3 1 7 1714 2250 7 31 76 138 232
si4_b03_m800.06 3 1 7 1717 2291 7 52 79 136 232
si4_b03_m800.07 3 1 7 1716 2264 7 31 76 138 233
